pl_name,ra,dec,X,Y,Z
EPIC 206215704 b,335.0949721,-9.5097112,-95.27087273386404,8.111176956025645,-54.157567900672255
EPIC 206317286 b,337.6178427,-7.972456,36.95703150538307,310.48030835035803,-32.43575880069253
EPIC 206317286 c,337.6178427,-7.972456,36.95703150538307,310.48030835035803,-32.43575880069253
EPIC 211822797 b,130.4102091,17.6399744,-65.76576390234463,174.0800271964495,6.350688043391116
EPIC 211945201 b,136.5741931,19.4020565,-154.0977136800816,-95.0091062851818,-15.440869841515223
EPIC 212297394 b,207.2061241,-17.6098985,-18.84595313218539,-54.816954022876665,414.36011828745444
EPIC 212297394 c,207.2061241,-17.6098985,-18.84595313218539,-54.816954022876665,414.36011828745444
EPIC 212424622 b,202.3313765,-14.3594358,-128.79046149557348,-569.8618614135839,181.58912508738615
EPIC 212499991 b,202.488752,-12.7347749,276.3928675233823,-46.99080535832869,40.645677432880134
EPIC 212587672 b,205.4445125,-10.8625468,40.1646585473182,-300.14440760293337,-103.65780090500412
EPIC 212587672 c,205.4445125,-10.8625468,40.1646585473182,-300.14440760293337,-103.65780090500412
EPIC 212624936 b,210.6376171,-10.0236852,69.77545838968545,-47.624107793871154,-555.5425553495852
EPIC 212624936 c,210.6376171,-10.0236852,69.77545838968545,-47.624107793871154,-555.5425553495852
EPIC 212737443 b,204.2215065,-7.3180577,-3.0877114850809497,5.199021418527482,-336.19562566171885
EPIC 212737443 c,204.2215065,-7.3180577,-3.0877114850809497,5.199021418527482,-336.19562566171885
EPIC 220492298 b,16.7615005,6.588798,-517.6595836956222,-163.3199294995209,-308.8209743206354
EPIC 220554210 c,13.4321524,7.9952914,-53.233944557076335,374.2072492724411,321.6175574496007
EPIC 220674823 b,13.0800239,10.7947051,-23.978911039339778,-117.76587872440808,213.02694133286394
EPIC 220674823 c,13.0800239,10.7947051,-23.978911039339778,-117.76587872440808,213.02694133286394
EPIC 228836835 b,189.5748998,-5.2446247,67.165693228344,114.04811291557505,70.84499255100695
EPIC 229004835 b,186.4860415,-1.4047214,-18.25378046176406,108.90056057934402,-51.81112086568238
EPIC 246851721 b,78.9198197,16.2786991,116.3109533880511,74.67246760169454,-346.049696038353
EPIC 248847494 b,159.3890808,11.8427484,305.79906381886843,-270.172539735896,-371.5802582702145
EPIC 249893012 b,228.2482353,-16.7246474,-149.74071607392455,241.99443971652988,-149.1560548953716
EPIC 249893012 c,228.2482353,-16.7246474,-149.74071607392455,241.99443971652988,-149.1560548953716
EPIC 249893012 d,228.2482353,-16.7246474,-149.74071607392455,241.99443971652988,-149.1560548953716
FU Tau b,65.8974962,25.0506711,,,
G 196-3 b,151.0884754,50.3861806,6.227935689515821,0.7553719337330805,20.868603875894127
G 264-012 b,326.6719598,66.803848,0.5793885543021744,0.634034477080054,15.98594351876102
G 264-012 c,326.6719598,66.803848,0.5793885543021744,0.634034477080054,15.98594351876102
G 9-40 b,134.7188514,21.0747961,-6.141653285920276,8.004863618130264,-26.041372758183837
GJ 1002 b,1.6764641,-7.5462123,1.4606321875225379,-4.595065754539129,-0.5113952416036651
GJ 1002 c,1.6764641,-7.5462123,1.4606321875225379,-4.595065754539129,-0.5113952416036651
GJ 1061 b,54.0032486,-44.5143104,-1.7771724567077354,1.046087437089304,-3.039189375719013
GJ 1061 c,54.0032486,-44.5143104,-1.7771724567077354,1.046087437089304,-3.039189375719013
